,Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
0,0.0,Sat Oct 06 15:32:00 +0000 2018,1.0,0.0,0.0,BBC,"These caves in rural Italy have been transformed into hotel rooms. 😍🇮🇹

#Mediterranean with @Simon_Reeve starts on… https://t.co/odrZvluN8x",1
1,-0.4189,Sat Oct 06 15:11:07 +0000 2018,0.709,0.2,0.091,BBC,"Please can everyone stop drinking their own urine?
It’s really not very good for you.
👉 https://t.co/gJwPTW9aiI https://t.co/E8aW02uYqp",2
2,0.0,Sat Oct 06 14:06:03 +0000 2018,1.0,0.0,0.0,BBC,"Going, going, gone!

A Banksy artwork shredded itself after it was sold for more than £1m at Sotheby's in London.… https://t.co/Qm7OwhiXT5",3
3,-0.4939,Sat Oct 06 13:10:02 +0000 2018,0.789,0.211,0.0,BBC,❤️ George Shelley opens up about grief and how to cope. https://t.co/4SajjiJI6e,4
4,-0.4588,Sat Oct 06 12:08:01 +0000 2018,0.769,0.231,0.0,BBC,Footage shows hundreds of tents abandoned by people after #LeedsFestival… https://t.co/VPTNlAVId4,5
5,0.5095,Sat Oct 06 11:07:05 +0000 2018,0.679,0.098,0.222,BBC,"🎓 Losing friends, moving home and being broke... what's life after university really like?
👉 https://t.co/5sabryzvbw https://t.co/9x23y45XtO",6
6,-0.128,Sat Oct 06 10:03:00 +0000 2018,0.711,0.154,0.134,BBC,"✉️ @StephenFry reads the letters of Otto von Wächter, a senior Austrian Nazi who escaped justice after the war.

Li… https://t.co/eadlYB4D0K",7
7,-0.4767,Sat Oct 06 09:08:03 +0000 2018,0.795,0.205,0.0,BBC,"How a bike accident transformed the lives of thousands of disabled people. 
#BBCInnovators https://t.co/NKOauhKD7M",8
8,0.7506,Sat Oct 06 08:07:02 +0000 2018,0.748,0.0,0.252,BBC,"✍️ Inspired by the book he famously illustrated 30 years ago, Sir Quentin Blake imagines what Roald Dahl's Matilda… https://t.co/DzXk7J6M2p",9
9,0.2732,Sat Oct 06 07:40:34 +0000 2018,0.823,0.066,0.111,BBC,"RT @BBCTheOneShow: 1.5 million people may have been affected by the tsunami in Sulawesi. 
Here’s how you can help the @decappeal https://t.…",10
10,0.7003,Sat Oct 06 07:08:02 +0000 2018,0.655,0.0,0.345,BBC,"☕️💛 This Amazing Human uses coffee to give homeless people a second chance.

https://t.co/wOc1ce2B3J",11
11,-0.8074,Fri Oct 05 19:04:05 +0000 2018,0.644,0.356,0.0,BBC,"Follow some of the debt counsellors working for Christians Against Poverty.

The Debt Saviours | 9pm | @BBCTwo |… https://t.co/t0c5uwl4jk",12
12,0.0,Fri Oct 05 18:08:03 +0000 2018,1.0,0.0,0.0,BBC,💪🐔 Check out these miniature chicken bodybuilders. https://t.co/rfRrfZMVkM,13
13,0.0,Fri Oct 05 17:03:08 +0000 2018,1.0,0.0,0.0,BBC,John Humphrys presents the first heat of the series as the hunt for the nation's Mastermind gets back underway.… https://t.co/hQdf779Yeo,14
14,0.4404,Fri Oct 05 16:05:04 +0000 2018,0.749,0.084,0.167,BBC,FACT: Britons can only let go emotionally when a barmaid breaks some glasses... 😂 #TheMashReport https://t.co/Hk2tqQv8WR,15
15,0.3612,Fri Oct 05 15:32:37 +0000 2018,0.902,0.0,0.098,BBC,"RT @1Xtra: .@RayBLK_'s #LiveLounge cover of 'A Natural Woman' for #BackHistoryMonth was just incredible.  

Full video 👉🏿 https://t.co/6TNL…",16
16,0.8625,Fri Oct 05 14:06:12 +0000 2018,0.578,0.065,0.357,BBC,"RT @BBCWales: 😂 Best global marketing campaign ever? 

🆕 #FestivalofFunny comedy: #TouristTrap 
⭐️ @MikeBubbins, @MariBarf, @SallyEPhillips…",17
17,0.6124,Fri Oct 05 14:06:04 +0000 2018,0.828,0.0,0.172,BBC,"RT @BBCWales: The new tourism head honcho for Wales gets hands on as she learns all about making love...spoons. 😆

🆕 Comedy: #TouristTrap…",18
18,0.0,Fri Oct 05 13:55:03 +0000 2018,1.0,0.0,0.0,BBC,"RT @BBCWales: 😮WE JUST DROPPED ALL OF #TOURISTTRAP ON @BBCIPLAYER. 

✨WATCH EVERY EPISODE HERE 👉 https://t.co/kOmZRWZt8D

👍HAPPY FRIDAY! #F…",19
19,-0.1027,Fri Oct 05 13:02:07 +0000 2018,0.928,0.072,0.0,BBC,"'I hid my baby from social services in case they took it away.'
👉 https://t.co/GzIQQwypFT https://t.co/2m4sqlGogP",20
20,0.1779,Fri Oct 05 12:33:00 +0000 2018,0.673,0.126,0.202,BBC,"Raoul the turtle had a lucky escape after getting tangled in plastic waste. 🐢

#Mediterranean with @simon_reeve sta… https://t.co/naQPqpDwpy",21
